source,type,prix,surface,prix_m2,nb_pieces,localisation
century21,Appartement,550000.0,54.0,10185.19,3,75018
century21,Appartement,436000.0,85.0,5129.41,2,75012
century21,Appartement,530000.0,32.0,16562.5,3,75020
century21,Appartement,149000.0,15.0,9933.33,1,75018
century21,Appartement,279000.0,80.0,3487.5,2,75012
century21,Appartement,435000.0,40.0,10875.0,2,75009
century21,Appartement,197000.0,16.0,12312.5,1,75018
century21,Appartement,495000.0,56.0,8839.29,1,75006
century21,Appartement,490000.0,44.0,11136.36,2,75018
century21,Appartement,268900.0,43.0,6253.49,2,75019
century21,Appartement,460000.0,33.0,13939.39,3,75019
century21,Appartement,527500.0,47.0,11223.4,3,75015
century21,Appartement,416000.0,80.0,5200.0,2,75014
century21,Appartement,160000.0,50.0,3200.0,1,75001
century21,Appartement,390000.0,20.0,19500.0,1,75006
century21,Chambre,89000.0,34.0,2617.65,1,75007
century21,Appartement,438000.0,25.0,17520.0,1,75006
century21,Appartement,1290000.0,87.0,14827.59,3,75006
century21,Appartement,145000.0,50.0,2900.0,1,75009
century21,Appartement,1295000.0,102.0,12696.08,4,75018
century21,Appartement,450000.0,47.0,9574.47,2,75018
century21,Appartement,199000.0,47.0,4234.04,1,75018
century21,Appartement,380000.0,38.0,10000.0,2,75019
century21,Appartement,464000.0,39.0,11897.44,2,75011
century21,Appartement,430000.0,36.0,11944.44,2,75011
century21,Appartement,215000.0,53.0,4056.6,2,75020
century21,Appartement,180000.0,66.0,2727.27,1,75007
century21,Appartement,890000.0,85.0,10470.59,4,75012
century21,Appartement,340000.0,96.0,3541.67,2,75012
century21,Appartement,530000.0,30.0,17666.67,3,75009
century21,Appartement,155000.0,16.0,9687.5,1,75009
century21,Appartement,1150000.0,102.0,11274.51,5,75009
century21,Appartement,205000.0,75.0,2733.33,1,75008
century21,Appartement,663000.0,36.0,18416.67,3,75006
century21,Appartement,799500.0,55.0,14536.36,4,75015
century21,Appartement,873000.0,96.0,9093.75,4,75015
century21,Appartement,600000.0,78.0,7692.31,2,75015
century21,Appartement,380000.0,44.0,8636.36,2,75011
century21,Appartement,400000.0,50.0,8000.0,2,75014
century21,Appartement,1460000.0,95.0,15368.42,5,75006
century21,Appartement,1460000.0,95.0,15368.42,5,75014
century21,Appartement,635000.0,63.0,10079.37,2,75016
century21,Appartement,310000.0,10.0,31000.0,1,75014
century21,Appartement,320000.0,82.0,3902.44,2,75014
century21,Appartement,430000.0,68.0,6323.53,2,75015
century21,Appartement,463000.0,44.0,10522.73,2,75018
century21,Appartement,452000.0,44.0,10272.73,2,75018
century21,Appartement,329000.0,80.0,4112.5,2,75018
century21,Appartement,192600.0,84.0,2292.86,2,75018
century21,Appartement,466000.0,56.0,8321.43,3,75018
